id_client,region,sexe,age,revenu_estime_gnf,anciennete_mois,type_abonnement,forfait_international,messagerie_vocale,recharge_mensuelle_moy_gnf,moyen_paiement,minutes_jour,minutes_nuit,donnees_mo,nombre_sms,appels_service_client,pannes_signalees_30j,retard_paiement_jours,minutes_internationales,retour_client,resiliation
GN-100000,Labé,M,36,1237089,36,Prépayé,Non,Non,53900.0,Orange Money,134.96,0.0,471.1,28,0,2,2,2.6,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",1
GN-100001,Kankan,M,34,877449,15,Prépayé,Non,Non,94600.0,Orange Money,63.88,26.99,1291.0,26,1,1,1,5.4,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100002,Conakry,M,59,2551993,6,Prépayé,Non,Non,167200.0,Orange Money,90.86,41.53,538.7,33,2,1,4,6.5,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100003,Faranah,M,29,781782,3,Prépayé,Non,Non,40400.0,Orange Money,98.49,11.81,287.9,39,2,2,1,3.7,"Service moyen, je recharge quand il faut, ça fait l’affaire.",1
GN-100004,N’Zérékoré,F,32,1029649,13,Prépayé,Non,Non,121900.0,Orange Money,72.5,21.32,1119.5,25,0,4,7,11.3,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100005,Faranah,F,29,871260,17,Prépayé,Oui,Non,46900.0,Orange Money,24.33,5.7,5221.6,38,1,0,0,0.3,"Service client joignable, délai un peu long parfois.",1
GN-100006,Kankan,F,40,757066,34,Prépayé,Non,Non,149700.0,Orange Money,146.21,59.33,554.8,30,2,2,0,5.0,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100007,N’Zérékoré,M,23,1180950,47,Postpayé,Non,Non,582100.0,Carte bancaire,62.83,32.51,1212.3,30,2,1,11,5.6,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100008,Conakry,M,34,890605,32,Prépayé,Non,Non,156000.0,Orange Money,95.02,49.57,436.6,42,6,2,0,1.8,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100009,Conakry,M,23,1326756,8,Prépayé,Non,Oui,57300.0,Orange Money,93.72,57.38,1182.6,26,1,1,9,11.1,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100010,Conakry,F,37,2194170,21,Postpayé,Non,Non,247100.0,Orange Money,22.52,59.47,568.8,34,3,1,9,0.9,"Internet lent certains soirs à Matoto, sinon ok.",0
GN-100011,Kindia,M,32,1224447,22,Prépayé,Oui,Oui,56700.0,Orange Money,90.54,76.99,339.9,31,4,2,7,7.9,"Le réseau varie selon les quartiers, mais on s’en sort.",1
GN-100012,Kindia,F,39,2172156,5,Prépayé,Non,Oui,28500.0,Orange Money,45.49,47.41,356.0,35,1,0,0,0.3,"Service client joignable, délai un peu long parfois.",0
GN-100013,Kindia,F,50,1154978,36,Prépayé,Oui,Non,99200.0,Orange Money,29.99,70.2,2314.4,34,0,0,0,13.6,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100014,Kankan,M,54,561864,18,Prépayé,Non,Non,99300.0,Orange Money,51.69,101.16,656.2,34,2,1,0,2.3,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100015,Labé,F,55,1558334,29,Prépayé,Oui,Oui,159200.0,Orange Money,72.04,72.79,1017.9,36,5,0,6,1.2,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100016,Conakry,F,30,2357543,11,Prépayé,Non,Non,100900.0,Orange Money,39.37,70.49,854.0,37,3,3,0,2.3,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100017,N’Zérékoré,F,43,1610609,47,Postpayé,Non,Non,452900.0,Orange Money,38.06,4.74,529.4,33,0,0,20,15.9,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100018,Conakry,M,41,3004760,31,Prépayé,Non,Non,286400.0,Carte bancaire,24.79,8.57,1496.2,25,0,1,5,10.9,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100019,N’Zérékoré,F,28,1172367,38,Prépayé,Non,Non,149700.0,Espèces,42.31,4.3,219.8,36,3,0,2,6.2,"Ça passe bien pour mes besoins, appels clairs et internet ok.",0
GN-100020,Conakry,M,28,1788019,9,Postpayé,Oui,Non,229700.0,Orange Money,59.35,36.34,833.7,39,2,1,3,16.5,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",1
GN-100021,N’Zérékoré,M,32,867520,23,Prépayé,Non,Non,70500.0,Orange Money,113.4,40.7,436.8,26,1,0,0,2.2,"Service client joignable, délai un peu long parfois.",1
GN-100022,Kindia,M,27,1179218,12,Postpayé,Non,Non,418600.0,Autre wallet,93.97,67.26,1869.9,33,1,0,11,21.8,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100023,N’Zérékoré,F,16,1694933,87,Prépayé,Non,Non,83700.0,Orange Money,63.85,51.56,473.9,36,4,0,0,1.6,"Ça passe bien pour mes besoins, appels clairs et internet ok.",1
GN-100024,Conakry,M,35,2111477,3,Prépayé,Non,Oui,117500.0,Orange Money,40.29,121.18,1768.3,37,5,0,0,6.5,"Réseau correct à Conakry, la 4G marche bien, rien à dire.",0
GN-100025,Kankan,F,51,484579,10,Prépayé,Non,Non,137700.0,Orange Money,59.78,57.09,1459.5,30,0,0,0,0.8,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100026,Mamou,F,22,1116825,13,Prépayé,Non,Non,287800.0,Orange Money,12.2,60.12,467.7,32,2,1,6,2.0,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100027,Kindia,F,29,1557568,30,Prépayé,Oui,Non,89000.0,Autre wallet,41.43,27.73,548.7,37,2,0,0,6.2,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
GN-100028,Conakry,F,41,1063045,4,Prépayé,Non,Non,34900.0,Orange Money,33.01,62.29,1529.5,25,1,1,2,5.2,"Service client joignable, délai un peu long parfois.",0
GN-100029,Kindia,F,25,356821,20,Prépayé,Non,Oui,286800.0,Orange Money,67.91,70.19,659.9,32,0,0,0,2.3,"Prix raisonnable, réseau stable à Kipé et Nongo.",1
GN-100030,Conakry,M,31,1830568,40,Postpayé,Oui,Oui,250300.0,Orange Money,69.47,43.49,562.7,41,1,2,3,1.6,"Support réactif, j’ai eu de l’aide rapidement, merci.",0
GN-100031,Boké,F,37,1505771,14,Postpayé,Non,Non,555100.0,Orange Money,94.56,67.93,671.2,46,2,1,3,1.1,"Support réactif, j’ai eu de l’aide rapidement, merci.",1
GN-100032,Conakry,F,34,1344296,1,Prépayé,Non,Oui,585800.0,Orange Money,80.2,38.91,862.5,47,0,2,0,0.8,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100033,Conakry,F,37,2211641,9,Prépayé,Non,Non,49500.0,Carte bancaire,88.71,0.0,468.5,37,2,0,9,3.8,"Bon service, forfait data intéressant, je suis satisfait.",0
GN-100034,Conakry,M,46,2013252,33,Postpayé,Non,Non,300200.0,Carte bancaire,82.15,113.12,755.4,28,2,2,7,2.1,"Support réactif, j’ai eu de l’aide rapidement, merci.",1
GN-100035,Conakry,M,27,2638176,10,Prépayé,Non,Non,474800.0,Autre wallet,101.37,55.75,615.0,30,2,0,3,0.5,"Prix raisonnable, réseau stable à Kipé et Nongo.",0
GN-100036,Boké,F,22,1990435,6,Prépayé,Non,Non,225500.0,Orange Money,38.04,30.14,891.8,32,1,0,0,6.8,"Rien à signaler, qualité au rendez-vous, merci l’équipe.",0
